Home_team,Away_team,Attendance,Venue
Al-Fateh,Al-Qadsiah,592,Prince Abdullah Bin Jalawi Sport City Stadium
Najran,Al-Nassr,2335,AlAkhdoud Club Stadium
Al-Shabab,Al-Raed,754,King Fahad International Stadium
Al-Ittihad,Al-Ettifaq,8126,Prince Abdullah Al-Faisal Stadium
Al-Hilal,Al-Taawoun,6596,King Fahad International Stadium
Al-Wehda,Al-Faisaly,232,King Abdul Aziz Sport City Stadium
Al-Ahli,Al-Hazem,8574,Prince Abdullah Al-Faisal Stadium
Al-Ettifaq,Al-Ahli,4135,Prince Mohamed bin Fahd Stadium
Al-Nassr,Al-Fateh,13126,Prince Faisal bin Fahad Stadium
Al-Taawoun,Al-Shabab,3129,King Abdullah Sport City Stadium
Al-Qadsiah,Al-Wehda,264,Prince Saud Bin Jalawi Sport City Stadium
Al-Faisaly,Al-Ittihad,2195,King Salman Bin Abdul Aziz Sport City Stadium
Al-Raed,Najran,5810,King Abdullah Sport City Stadium
Al-Hazem,Al-Hilal,2413,Alhazm Club Stadium
Al-Shabab,Al-Ettifaq,746,Prince Faisal bin Fahad Stadium
Al-Taawoun,Al-Nassr,12707,King Abdullah Sport City Stadium
Al-Hazem,Al-Qadsiah,23,Alhazm Club Stadium
Al-Ahli,Al-Fateh,6159,Prince Abdullah Al-Faisal Stadium
Al-Hilal,Al-Faisaly,7589,Prince Faisal bin Fahad Stadium
Al-Raed,Al-Wehda,2395,King Abdullah Sport City Stadium
Al-Ittihad,Najran,8491,Prince Abdullah Al-Faisal Stadium
Al-Qadsiah,Al-Taawoun,162,Prince Saud Bin Jalawi Sport City Stadium
Al-Nassr,Al-Shabab,10439,Prince Faisal bin Fahad Stadium
Al-Fateh,Al-Raed,298,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Ettifaq,Al-Faisaly,655,Prince Mohamed bin Fahd Stadium
Najran,Al-Ahli,1126,AlAkhdoud Club Stadium
Al-Ittihad,Al-Hazem,6016,Prince Abdullah Al-Faisal Stadium
Al-Wehda,Al-Hilal,6244,King Abdul Aziz Sport City Stadium
Al-Hazem,Al-Wehda,30,Alhazm Club Stadium
Al-Faisaly,Al-Nassr,3288,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ahli,Al-Ittihad,16350,Prince Abdullah Al-Faisal Stadium
Al-Taawoun,Al-Raed,15160,King Abdullah Sport City Stadium
Al-Ettifaq,Najran,880,Prince Mohamed bin Fahd Stadium
Al-Raed,Al-Ittihad,2828,King Abdullah Sport City Stadium
Al-Faisaly,Al-Hazem,83,King Salman Bin Abdul Aziz Sport City Stadium
Al-Wehda,Al-Ettifaq,110,King Abdul Aziz Sport City Stadium
Al-Taawoun,Najran,3417,King Abdullah Sport City Stadium
Al-Qadsiah,Al-Nassr,9361,Prince Mohamed bin Fahd Stadium
Najran,Al-Shabab,960,AlAkhdoud Club Stadium
Al-Hazem,Al-Raed,921,Alhazm Club Stadium
Al-Ettifaq,Al-Fateh,2265,Prince Mohamed bin Fahd Stadium
Al-Nassr,Al-Wehda,4441,King Fahad International Stadium
Al-Qadsiah,Al-Faisaly,247,Prince Saud Bin Jalawi Sport City Stadium
Al-Ahli,Al-Taawoun,3399,Prince Abdullah Al-Faisal Stadium
Al-Hilal,Al-Ettifaq,6964,King Fahad International Stadium
Al-Raed,Al-Nassr,6117,King Abdullah Sport City Stadium
Al-Wehda,Al-Fateh,8060,King Abdul Aziz Sport City Stadium
Al-Taawoun,Al-Ittihad,7244,King Abdullah Sport City Stadium
Al-Faisaly,Najran,557,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ahli,Al-Qadsiah,2255,Prince Abdullah Al-Faisal Stadium
Najran,Al-Qadsiah,469,AlAkhdoud Club Stadium
Al-Ittihad,Al-Wehda,9659,Prince Abdullah Al-Faisal Stadium
Al-Raed,Al-Ettifaq,7278,King Abdullah Sport City Stadium
Al-Hazem,Al-Taawoun,608,Alhazm Club Stadium
Al-Fateh,Al-Faisaly,364,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Fateh,Al-Ittihad,3155,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Nassr,Al-Ahli,7422,Prince Faisal bin Fahad Stadium
Al-Wehda,Najran,1198,King Abdul Aziz Sport City Stadium
Al-Qadsiah,Al-Raed,261,Prince Saud Bin Jalawi Sport City Stadium
Al-Faisaly,Al-Taawoun,1009,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ettifaq,Al-Hazem,1569,Prince Mohamed bin Fahd Stadium
Al-Hilal,Al-Nassr,18058,King Fahad International Stadium
Al-Ahli,Al-Shabab,5358,Prince Abdullah Al-Faisal Stadium
Najran,Al-Hazem,546,AlAkhdoud Club Stadium
Al-Raed,Al-Hilal,13592,King Abdullah Sport City Stadium
Al-Nassr,Al-Ettifaq,4591,King Fahad International Stadium
Al-Taawoun,Al-Fateh,2799,King Abdullah Sport City Stadium
Al-Shabab,Al-Wehda,458,Prince Faisal bin Fahad Stadium
Al-Qadsiah,Al-Ittihad,5558,Prince Saud Bin Jalawi Sport City Stadium
Al-Faisaly,Al-Ahli,674,King Salman Bin Abdul Aziz Sport City Stadium
Al-Hilal,Al-Qadsiah,6620,Prince Faisal bin Fahad Stadium
Al-Fateh,Najran,379,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Raed,Al-Faisaly,5930,King Abdullah Sport City Stadium
Al-Ittihad,Al-Shabab,10748,Prince Abdullah Al-Faisal Stadium
Al-Hazem,Al-Nassr,1790,Alhazm Club Stadium
Al-Ettifaq,Al-Taawoun,1194,Prince Mohamed bin Fahd Stadium
Al-Wehda,Al-Ahli,1836,King Abdul Aziz Sport City Stadium
Al-Hilal,Al-Ahli,7715,Prince Faisal bin Fahad Stadium
Al-Fateh,Al-Shabab,1078,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Taawoun,Al-Wehda,2613,King Abdullah Sport City Stadium
Al-Nassr,Al-Ittihad,14750,Prince Faisal bin Fahad Stadium
Najran,Al-Hilal,368,AlAkhdoud Club Stadium
