Weak,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue
1,Saturday,2010-08-14,21:45:00,Al-Fateh,Al Qadisiya,1,3,592,Prince Abdullah Bin Jalawi Sport City Stadium
1,Saturday,2010-08-14,22:00:00,Najran,Al-Nassr,0,1,2335,AlAkhdoud Club Stadium
1,Saturday,2010-08-14,22:00:00,Al-Shabab,Al-Raed,0,2,754,King Fahad International Stadium
1,Saturday,2010-08-14,22:15:00,Al-Ittihad FC,Al-Ettifaq,2,1,8126,Prince Abdullah Al-Faisal Stadium
1,Sunday,2010-08-15,22:00:00,Al-Hilal,Al-Taawon,1,0,6596,King Fahad International Stadium
1,Sunday,2010-08-15,22:15:00,Al Wehda,Al-Faisaly,3,3,232,King Abdul Aziz Sport City Stadium
1,Sunday,2010-08-15,22:15:00,Al Ahli SC,Al-Hazem,1,0,8574,Prince Abdullah Al-Faisal Stadium
2,Thursday,2010-08-19,21:45:00,Al-Ettifaq,Al Ahli SC,4,3,4135,Prince Mohamed bin Fahd Stadium
2,Thursday,2010-08-19,22:00:00,Al-Nassr,Al-Fateh,4,2,13126,Prince Faisal bin Fahad Stadium
2,Thursday,2010-08-19,22:15:00,Al-Taawon,Al-Shabab,4,1,3129,King Abdullah Sport City Stadium
2,Friday,2010-08-20,21:45:00,Al Qadisiya,Al Wehda,1,1,264,Prince Saud Bin Jalawi Sport City Stadium
2,Friday,2010-08-20,22:00:00,Al-Faisaly,Al-Ittihad FC,0,2,2195,King Salman Bin Abdul Aziz Sport City Stadium
2,Friday,2010-08-20,22:15:00,Al-Raed,Najran,3,2,5810,King Abdullah Sport City Stadium
2,Friday,2010-08-20,22:15:00,Al-Hazem,Al-Hilal,0,2,2413,Alhazm Club Stadium
3,Tuesday,2010-08-24,22:00:00,Al-Shabab,Al-Ettifaq,2,1,746,Prince Faisal bin Fahad Stadium
3,Tuesday,2010-08-24,22:15:00,Al-Taawon,Al-Nassr,2,2,12707,King Abdullah Sport City Stadium
3,Tuesday,2010-08-24,22:15:00,Al-Hazem,Al Qadisiya,2,2,23,Alhazm Club Stadium
3,Tuesday,2010-08-24,22:15:00,Al Ahli SC,Al-Fateh,1,2,6159,Prince Abdullah Al-Faisal Stadium
3,Wednesday,2010-08-25,22:00:00,Al-Hilal,Al-Faisaly,5,1,7589,Prince Faisal bin Fahad Stadium
