Index,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Families,Period,Weekend,PosH,PosA
1,1,Saturday,2010-08-14,21:45:00,Al-Fateh,Al-Qadisiyah,1,3,592,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,91700,No,Night,Yes,1,1
2,1,Saturday,2010-08-14,22:00:00,Najran,Al-Nassr,0,1,2335,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,3100000,No,Night,Yes,1,1
3,1,Saturday,2010-08-14,22:00:00,Al-Shabab,Al-Raed,0,2,754,King Fahad International Stadium,46.839236,24.788206,67000,414900,149200,No,Night,Yes,1,1
4,1,Saturday,2010-08-14,22:15:00,Al-Ittihad,Al-Ettifaq,2,1,8126,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,226500,No,Night,Yes,1,1
5,1,Sunday,2010-08-15,22:00:00,Al-Hilal,Al-Taawoun,1,0,6596,King Fahad International Stadium,46.839236,24.788206,67000,9600000,208700,No,Night,No,1,1
6,1,Sunday,2010-08-15,22:15:00,Al-Wehda,Al-Faisaly,3,3,232,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,103900,No,Night,No,1,1
7,1,Sunday,2010-08-15,22:15:00,Al-Ahli,Al-Hazem,1,0,8574,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,49700,No,Night,No,1,1
8,2,Thursday,2010-08-19,21:45:00,Al-Ettifaq,Al-Ahli,4,3,4135,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,2000000,No,Night,Yes,9,4
9,2,Thursday,2010-08-19,22:00:00,Al-Nassr,Al-Fateh,4,2,13126,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,161100,No,Night,Yes,6,13
10,2,Thursday,2010-08-19,22:15:00,Al-Taawoun,Al-Shabab,4,1,3129,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,414900,No,Night,Yes,11,14
11,2,Friday,2010-08-20,21:45:00,Al-Qadisiyah,Al-Wehda,1,1,264,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,226600,No,Night,Yes,1,8
12,2,Friday,2010-08-20,22:00:00,Al-Faisaly,Al-Ittihad,0,2,2195,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,4000000,No,Night,Yes,7,3
13,2,Friday,2010-08-20,22:15:00,Al-Raed,Najran,3,2,5810,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,31200,No,Night,Yes,2,12
14,2,Friday,2010-08-20,22:15:00,Al-Hazem,Al-Hilal,0,2,2413,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,9600000,No,Night,Yes,10,5
15,3,Tuesday,2010-08-24,22:00:00,Al-Shabab,Al-Ettifaq,2,1,746,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,226500,No,Night,No,14,7
16,3,Tuesday,2010-08-24,22:15:00,Al-Taawoun,Al-Nassr,2,2,12707,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,3100000,No,Night,No,6,1
17,3,Tuesday,2010-08-24,22:15:00,Al-Hazem,Al-Qadisiyah,2,2,23,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,91700,No,Night,No,12,5
18,3,Tuesday,2010-08-24,22:15:00,Al-Ahli,Al-Fateh,1,2,6159,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,161100,No,Night,No,8,13
19,3,Wednesday,2010-08-25,22:00:00,Al-Hilal,Al-Faisaly,5,1,7589,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,103900,No,Night,No,4,10
20,3,Wednesday,2010-08-25,22:15:00,Al-Raed,Al-Wehda,3,2,2395,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,226600,No,Night,No,2,9
21,3,Wednesday,2010-08-25,22:15:00,Al-Ittihad,Najran,2,0,8491,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,31200,No,Night,No,3,11
22,4,Saturday,2010-08-28,21:45:00,Al-Qadisiyah,Al-Taawoun,4,1,162,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,208700,No,Night,Yes,5,6
23,4,Saturday,2010-08-28,22:00:00,Al-Nassr,Al-Shabab,0,0,10439,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,414900,No,Night,Yes,4,10
24,4,Sunday,2010-08-29,21:45:00,Al-Fateh,Al-Raed,1,1,298,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,149200,No,Night,No,9,3
25,4,Sunday,2010-08-29,21:45:00,Al-Ettifaq,Al-Faisaly,1,0,655,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,103900,No,Night,No,7,13
26,4,Sunday,2010-08-29,22:00:00,Najran,Al-Ahli,2,1,1126,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,2000000,No,Night,No,14,8
27,4,Sunday,2010-08-29,22:15:00,Al-Ittihad,Al-Hazem,4,0,6016,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,49700,No,Night,No,2,12
28,4,Sunday,2010-08-29,22:15:00,Al-Wehda,Al-Hilal,1,3,6244,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,9600000,No,Night,No,11,1
29,5,Thursday,2010-09-16,20:30:00,Al-Hazem,Al-Wehda,1,1,30,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,226600,No,Night,Yes,14,12
30,5,Thursday,2010-09-16,20:30:00,Al-Faisaly,Al-Nassr,1,1,3288,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,3100000,No,Night,Yes,13,5
31,5,Thursday,2010-09-16,20:30:00,Al-Ahli,Al-Ittihad,1,3,16350,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,4000000,No,Night,Yes,10,2
32,5,Friday,2010-09-17,20:20:00,Al-Taawoun,Al-Raed,1,0,15160,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,149200,No,Night,Yes,7,3
33,5,Friday,2010-09-17,20:20:00,Al-Ettifaq,Najran,1,0,880,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,31200,No,Night,Yes,6,11
34,6,Wednesday,2010-09-22,20:15:00,Al-Raed,Al-Ittihad,1,2,2828,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,4000000,No,Night,No,3,2
35,6,Wednesday,2010-09-22,20:15:00,Al-Faisaly,Al-Hazem,3,1,83,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,49700,No,Night,No,13,14
36,6,Wednesday,2010-09-22,20:15:00,Al-Wehda,Al-Ettifaq,0,1,110,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,226500,No,Night,No,10,5
37,6,Thursday,2010-09-23,20:15:00,Al-Taawoun,Najran,2,3,3417,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,31200,No,Night,Yes,7,12
38,6,Thursday,2010-09-23,20:15:00,Al-Qadisiyah,Al-Nassr,1,3,9361,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,91700,3100000,No,Night,Yes,4,4
39,7,Monday,2010-09-27,20:10:00,Najran,Al-Shabab,1,2,960,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,414900,No,Night,No,9,9
40,7,Monday,2010-09-27,20:10:00,Al-Hazem,Al-Raed,0,0,921,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,149200,No,Night,No,14,5
41,7,Monday,2010-09-27,20:10:00,Al-Ettifaq,Al-Fateh,2,2,2265,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,161100,No,Night,No,4,8
42,7,Tuesday,2010-09-28,20:10:00,Al-Nassr,Al-Wehda,0,1,4441,King Fahad International Stadium,46.839236,24.788206,67000,3100000,226600,No,Night,No,3,13
43,7,Tuesday,2010-09-28,20:10:00,Al-Qadisiyah,Al-Faisaly,2,2,247,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,103900,No,Night,No,6,10
44,7,Tuesday,2010-09-28,20:10:00,Al-Ahli,Al-Taawoun,1,1,3399,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,208700,No,Night,No,11,8
45,8,Friday,2010-10-01,20:05:00,Al-Hilal,Al-Ettifaq,1,0,6964,King Fahad International Stadium,46.839236,24.788206,67000,9600000,226500,No,Night,Yes,1,3
46,8,Saturday,2010-10-02,20:05:00,Al-Raed,Al-Nassr,1,1,6117,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,3100000,No,Night,Yes,5,4
47,8,Saturday,2010-10-02,20:05:00,Al-Wehda,Al-Fateh,3,0,8060,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,161100,No,Night,Yes,9,9
48,8,Sunday,2010-10-03,20:05:00,Al-Taawoun,Al-Ittihad,0,1,7244,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,4000000,No,Night,No,8,1
49,8,Sunday,2010-10-03,20:05:00,Al-Faisaly,Najran,4,2,557,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,31200,No,Night,No,11,10
50,8,Sunday,2010-10-03,20:05:00,Al-Ahli,Al-Qadisiyah,2,1,2255,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,91700,No,Night,No,12,6
51,9,Friday,2010-10-15,19:55:00,Najran,Al-Qadisiyah,2,1,469,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,91700,No,Night,Yes,12,7
52,9,Friday,2010-10-15,19:55:00,Al-Ittihad,Al-Wehda,1,1,9659,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,226600,No,Night,Yes,1,8
53,9,Saturday,2010-10-16,19:55:00,Al-Raed,Al-Ettifaq,0,3,7278,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,226500,No,Night,Yes,6,5
54,9,Saturday,2010-10-16,19:55:00,Al-Hazem,Al-Taawoun,0,3,608,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,208700,No,Night,Yes,14,10
55,9,Saturday,2010-10-16,19:55:00,Al-Fateh,Al-Faisaly,0,1,364,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,103900,No,Night,Yes,11,9
56,10,Wednesday,2010-10-20,19:50:00,Al-Fateh,Al-Ittihad,0,0,3155,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,4000000,No,Night,No,12,1
57,9,Thursday,2010-10-21,16:05:00,Al-Nassr,Al-Ahli,2,1,7422,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,2000000,No,Daytime,Yes,4,13
58,10,Thursday,2010-10-21,19:50:00,Al-Wehda,Najran,2,0,1198,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,31200,No,Night,Yes,9,11
59,10,Thursday,2010-10-21,19:50:00,Al-Qadisiyah,Al-Raed,1,1,261,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,149200,No,Night,Yes,7,6
60,10,Friday,2010-10-22,19:50:00,Al-Faisaly,Al-Taawoun,2,1,1009,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,208700,No,Night,Yes,7,8
61,10,Friday,2010-10-22,19:50:00,Al-Ettifaq,Al-Hazem,2,1,1569,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,49700,No,Night,Yes,4,14
62,10,Sunday,2010-10-24,19:50:00,Al-Hilal,Al-Nassr,1,1,18058,King Fahad International Stadium,46.839236,24.788206,67000,9600000,3100000,No,Night,No,1,3
63,10,Tuesday,2010-10-26,19:50:00,Al-Ahli,Al-Shabab,1,2,5358,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,414900,No,Night,No,11,8
64,11,Thursday,2010-10-28,19:45:00,Najran,Al-Hazem,4,0,546,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,49700,No,Night,Yes,11,14
65,11,Thursday,2010-10-28,19:45:00,Al-Raed,Al-Hilal,0,4,13592,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,9600000,No,Night,Yes,8,2
66,11,Thursday,2010-10-28,19:45:00,Al-Nassr,Al-Ettifaq,2,1,4591,King Fahad International Stadium,46.839236,24.788206,67000,3100000,226500,No,Night,Yes,4,3
67,11,Friday,2010-10-29,19:45:00,Al-Taawoun,Al-Fateh,0,0,2799,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,161100,No,Night,Yes,9,13
68,11,Friday,2010-10-29,19:45:00,Al-Shabab,Al-Wehda,4,3,458,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,226600,No,Night,Yes,7,7
69,11,Friday,2010-10-29,19:45:00,Al-Qadisiyah,Al-Ittihad,1,1,5558,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,4000000,No,Night,Yes,10,2
70,11,Saturday,2010-10-30,19:45:00,Al-Faisaly,Al-Ahli,3,2,674,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,2000000,No,Night,Yes,6,12
71,12,Tuesday,2010-11-02,19:40:00,Al-Hilal,Al-Qadisiyah,0,0,6620,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,91700,No,Night,No,2,10
72,12,Tuesday,2010-11-02,19:40:00,Al-Fateh,Najran,2,0,379,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,31200,No,Night,No,13,10
73,12,Wednesday,2010-11-03,19:40:00,Al-Raed,Al-Faisaly,0,0,5930,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,103900,No,Night,No,8,6
74,12,Wednesday,2010-11-03,19:40:00,Al-Ittihad,Al-Shabab,2,2,10748,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,414900,No,Night,No,2,6
75,12,Wednesday,2010-11-03,19:40:00,Al-Hazem,Al-Nassr,2,5,1790,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,3100000,No,Night,No,14,3
76,12,Wednesday,2010-11-03,19:40:00,Al-Ettifaq,Al-Taawoun,1,0,1194,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,208700,No,Night,No,5,9
77,12,Wednesday,2010-11-03,19:40:00,Al-Wehda,Al-Ahli,1,3,1836,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,2000000,No,Night,No,7,12
78,6,Sunday,2010-11-07,19:45:00,Al-Hilal,Al-Ahli,3,3,7715,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,2000000,No,Night,No,2,12
79,6,Sunday,2010-11-07,19:45:00,Al-Fateh,Al-Shabab,1,1,1078,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,414900,No,Night,No,13,3
80,13,Wednesday,2010-11-10,19:35:00,Al-Taawoun,Al-Wehda,1,2,2613,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,226600,No,Night,No,10,8
81,13,Wednesday,2010-11-10,19:35:00,Al-Nassr,Al-Ittihad,2,2,14750,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,4000000,No,Night,No,3,2
82,13,Thursday,2010-11-11,19:35:00,Najran,Al-Hilal,0,3,368,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,9600000,No,Night,Yes,11,1
83,13,Thursday,2010-11-11,19:35:00,Al-Shabab,Al-Faisaly,4,1,595,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,103900,No,Night,Yes,5,6
84,13,Thursday,2010-11-11,19:35:00,Al-Hazem,Al-Fateh,2,1,97,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,161100,No,Night,Yes,14,13
85,13,Thursday,2010-11-11,19:35:00,Al-Qadisiyah,Al-Ettifaq,0,3,3978,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,226500,No,Night,Yes,11,4
