Index,Season,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Rank_H,Rank_A,Families,Period,Weekend,TemperatureC,DewPoint,RH,LaggedAttendance,RankDiff,GameImp
1,2010,1,Saturday,2010-08-14,21:45:00,Al-Fateh,Al-Qadisiyah,1,3,592,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,91700,1,1,No,Night,Yes,37,11,20.9,NA,0,1
2,2010,1,Saturday,2010-08-14,22:00:00,Najran,Al-Nassr,0,1,2335,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,3100000,1,1,No,Night,Yes,33,2,14.04,NA,0,1
3,2010,1,Saturday,2010-08-14,22:00:00,Al-Shabab,Al-Raed,0,2,754,King Fahad International Stadium,46.839236,24.788206,67000,414900,149200,1,1,No,Night,Yes,36.2,4,13.54,NA,0,1
4,2010,1,Saturday,2010-08-14,22:15:00,Al-Ittihad,Al-Ettifaq,2,1,8126,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,226500,1,1,No,Night,Yes,33,26,66.78,NA,0,1
5,2010,1,Sunday,2010-08-15,22:00:00,Al-Hilal,Al-Taawoun,1,0,6596,King Fahad International Stadium,46.839236,24.788206,67000,9600000,208700,1,1,No,Night,No,39,2,10.09,NA,0,1
6,2010,1,Sunday,2010-08-15,22:15:00,Al-Wehda,Al-Faisaly,3,3,232,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,103900,1,1,No,Night,No,36,22,44.45,NA,0,1
7,2010,1,Sunday,2010-08-15,22:15:00,Al-Ahli,Al-Hazem,1,0,8574,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,49700,1,1,No,Night,No,32.6,29,81.41,NA,0,1
8,2010,2,Thursday,2010-08-19,21:45:00,Al-Ettifaq,Al-Ahli,4,3,4135,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,2000000,9,4,No,Night,Yes,33,19,43.65,NA,5,1
9,2010,2,Thursday,2010-08-19,22:00:00,Al-Nassr,Al-Fateh,4,2,13126,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,161100,6,13,No,Night,Yes,37.6,7,15.44,NA,7,1
10,2010,2,Thursday,2010-08-19,22:15:00,Al-Taawoun,Al-Shabab,4,1,3129,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,414900,11,14,No,Night,Yes,35,7,17.81,NA,3,1
11,2010,2,Friday,2010-08-20,21:45:00,Al-Qadisiyah,Al-Wehda,1,1,264,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,226600,1,8,No,Night,Yes,32,25,66.58,NA,7,1
12,2010,2,Friday,2010-08-20,22:00:00,Al-Faisaly,Al-Ittihad,0,2,2195,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,4000000,7,3,No,Night,Yes,35,4,14.47,NA,4,1
13,2010,2,Friday,2010-08-20,22:15:00,Al-Raed,Najran,3,2,5810,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,31200,2,12,No,Night,Yes,35,4,14.47,NA,10,1
14,2010,2,Friday,2010-08-20,22:15:00,Al-Hazem,Al-Hilal,0,2,2413,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,9600000,10,5,No,Night,Yes,35,4,14.47,NA,5,1
15,2010,3,Tuesday,2010-08-24,22:00:00,Al-Shabab,Al-Ettifaq,2,1,746,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,226500,14,7,No,Night,No,35.6,3,13.04,754,7,1
16,2010,3,Tuesday,2010-08-24,22:15:00,Al-Taawoun,Al-Nassr,2,2,12707,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,3100000,6,1,No,Night,No,35,6,16.63,3129,5,1
17,2010,3,Tuesday,2010-08-24,22:15:00,Al-Hazem,Al-Qadisiyah,2,2,23,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,91700,12,5,No,Night,No,35,6,16.63,2413,7,1
18,2010,3,Tuesday,2010-08-24,22:15:00,Al-Ahli,Al-Fateh,1,2,6159,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,161100,8,13,No,Night,No,33.2,25,62.23,8574,5,1
